@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute state {1,2}

@data
2.165839,2.188988,1.492211,1.100157,1
2.251341,2.163333,1.506291,1.108470,1
2.383261,2.221286,1.649647,1.105331,1
2.511199,2.201680,1.683240,1.130604,1
2.612143,2.165391,1.532326,1.211933,1
2.234687,1.914008,1.426426,1.236273,1
2.223525,2.010525,1.498143,1.175448,1
2.130768,2.033953,1.566563,1.197380,1
2.230311,2.293634,1.556278,1.158011,1
2.367007,2.209012,1.607213,1.218667,1
2.129574,2.307583,1.563254,1.231097,1
2.317863,2.185363,1.428739,1.242288,1
2.266672,2.185623,1.421681,1.034929,1
2.511927,2.362973,1.490247,1.111456,1
2.568754,2.238736,1.502290,1.068773,1
2.325236,2.112102,1.560301,1.187160,1
2.289541,2.521426,1.660743,1.219903,1
2.356056,2.317686,1.472004,1.095942,1
2.202590,2.344204,1.460562,0.973291,1
2.665848,2.194731,1.507079,1.152788,1
2.445628,1.997038,1.510688,1.138480,1
2.398323,2.221214,1.509616,0.982971,1
2.413120,2.247454,1.437703,1.032724,1
2.216205,2.276175,1.472558,1.018309,1
2.273886,2.413001,1.498567,0.997508,1
2.068221,2.160321,1.594073,1.143253,1
2.324955,2.166630,1.597848,1.114187,1
2.482154,2.510397,1.489545,1.003217,1
2.236836,2.451637,1.526991,0.960106,1
2.182995,2.321468,1.614793,1.030333,1
2.529678,2.288717,1.525821,0.997311,1
2.199168,2.366634,1.493898,0.990923,1
2.262408,2.394936,1.508172,0.955814,1
2.331719,2.282689,1.499301,1.111412,1
2.453564,2.221882,1.598325,1.106964,1
2.504560,2.212291,1.562817,1.175377,1
2.133647,2.144730,1.512594,1.082104,1
2.618366,2.220918,1.484467,1.041703,1
2.633429,2.223328,1.600436,1.067006,1
2.145440,2.151163,1.633384,1.077255,1
2.137823,2.005707,1.516286,1.047598,1
2.082750,2.174315,1.548194,1.013936,1
1.881743,2.128112,1.645956,1.079213,1
2.302572,2.151537,1.625594,1.036724,1
2.233982,2.197948,1.687924,1.212825,1
2.156167,2.282222,1.624622,1.002611,1
2.202249,2.367354,1.530501,1.102087,1
2.585332,2.252346,1.699679,1.153931,1
2.477649,2.085420,1.651636,1.215072,1
2.252966,2.188691,1.408567,1.066256,1
2.931011,2.437917,1.706763,1.463295,1
2.809958,2.256992,1.760849,1.411503,1
2.213399,2.133785,1.622021,1.093704,1
2.267666,2.298246,1.671174,1.375940,1
2.445143,2.259794,1.634055,1.421400,1
2.651081,2.501164,1.669602,1.277256,1
2.527170,2.418692,1.654676,1.378218,1
2.317811,2.156291,1.506123,1.291145,1
2.417798,2.292465,1.585567,1.283048,1
2.319907,2.612805,1.629253,1.206105,1
