@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.240853,2.669801,2.425750,2.522620,1.751955,2.342465,2.208254,2.240927,1.654003,1.230674,1.872306,1.926007,2.105422,2.029600,1.849794,1.990646,1.871228,1.512351,1.287886,1.136579,2.062443,2.559653,2.667295,2.570773,1.953705,2.136933,2.034853,1.796019,1.438719,1.223547,1.910832,2.364764,2.298894,2.283666,1.804984,1.973214,1.896945,1.708276,1.303482,1.221917,2.102115,2.218399,2.205425,2.179294,1.714752,2.164558,2.033299,2.011668,1.433370,1.128348,2.199529,2.288381,1.950802,2.152407,1.916339,2.041464,1.949206,1.617650,1.504085,1.443581,2.145603,2.188239,2.345630,2.243483,2.111977,2.049018,2.027516,1.902627,2.005956,1.915538,2.038611,2.432259,2.222004,2.318038,1.713130,1.972068,1.888536,1.819974,1.450694,1.240720,2.254654,2.418977,2.046720,2.262518,1.781729,2.150213,2.042089,2.079567,1.595868,1.186678,1
1.847617,2.025253,2.228472,2.182515,2.040775,2.398174,2.308310,2.296070,1.694919,1.348318,2.392497,2.525580,2.254577,2.406963,1.917452,1.800887,1.861934,1.773571,1.471712,1.219808,2.388041,2.470126,2.100747,2.326907,1.989500,1.940497,1.974446,1.884480,1.563702,1.172233,1.872177,2.294254,2.044739,2.157625,1.934981,1.994018,1.992097,1.859731,1.412219,1.132102,2.427286,2.460988,2.033705,2.327212,1.883009,2.200866,2.105560,2.106220,1.529487,1.167043,2.136214,2.383429,2.217906,2.271324,2.055841,1.955434,2.012081,1.760958,1.537488,1.401220,2.711773,2.702070,2.434707,2.621922,2.042639,2.212235,2.148525,2.229289,1.969374,1.759841,1.958669,2.372477,2.092803,2.269295,1.748613,2.106526,2.019693,1.980586,1.457957,1.201263,1.972271,2.145019,1.792389,2.029606,1.799041,2.287420,2.164282,2.177315,1.643822,1.244387,1
1.549479,2.127460,2.177789,2.144038,2.159643,2.376587,2.296676,2.283257,1.853473,1.395465,2.298959,2.429500,2.302356,2.385099,1.996423,1.956432,2.001159,1.984910,1.519495,1.138231,1.905558,2.230973,2.274562,2.227708,2.001515,1.892945,1.999090,2.035163,1.643043,1.273759,2.070700,2.352358,2.069646,2.219939,2.051668,2.059190,2.093458,2.043977,1.599900,1.173755,2.071535,2.109510,2.093837,2.080803,2.020445,2.134272,2.123058,2.157321,1.566902,1.153062,2.327812,2.540939,2.135497,2.385693,2.292889,2.205346,2.245391,2.106722,1.738108,1.638091,2.456375,2.310628,2.320002,2.345497,2.203445,2.246724,2.229273,2.169085,1.913118,1.724836,1.599225,2.122827,2.035506,2.034556,1.857702,2.388681,2.263198,2.313717,1.705427,1.177838,1.521233,1.788192,1.703140,1.764141,1.948008,2.256280,2.142005,2.186989,1.697030,1.366823,1
1.950362,2.255426,2.115035,2.188774,2.432705,2.502693,2.447494,2.239696,1.766033,1.116339,2.500197,2.699956,2.110050,2.524740,2.354120,1.893117,2.174761,1.848129,1.572951,1.074786,2.240846,2.717467,2.457374,2.610330,2.378553,2.356829,2.370894,2.160707,1.693100,1.201239,2.029860,2.487615,2.098280,2.318765,2.231507,2.418454,2.359372,2.128364,1.525550,1.013388,2.305567,2.579139,2.182126,2.424017,2.235190,2.519100,2.461019,2.504321,1.715723,1.158686,2.324185,2.534606,1.892901,2.337762,2.323340,2.103485,2.201875,1.920477,1.732088,1.468571,2.626424,2.706984,2.016273,2.528081,2.493058,2.023456,2.282094,2.104962,2.014117,1.893097,1.955112,2.405825,2.151968,2.258585,2.187779,2.421635,2.345879,2.106236,1.646403,1.106557,2.087405,2.270847,1.688611,2.112743,2.235606,2.592550,2.484671,2.444390,1.740361,1.201491,1
1.873473,2.146346,2.261523,2.203632,2.406928,2.603848,2.526984,2.381526,1.890211,1.279234,2.559867,2.766116,2.188778,2.598672,1.975188,1.789141,1.900853,1.870699,1.594207,1.265777,2.235720,2.864813,2.680256,2.776272,2.331966,2.316880,2.316298,2.159361,1.757059,1.303235,2.156247,2.619596,2.321672,2.477247,2.180738,2.326750,2.263863,2.081154,1.628826,1.194479,2.299815,2.669847,2.395362,2.537882,2.182276,2.463368,2.383410,2.277258,1.634046,1.287206,2.363725,2.622286,2.263338,2.499922,1.862232,1.912670,1.891386,1.836389,1.675977,1.461255,2.650498,2.795725,2.038991,2.601732,2.137446,1.526568,1.907032,1.958880,1.931390,1.764849,1.861301,2.437273,2.236330,2.298425,2.228338,2.589628,2.496875,2.408089,1.786001,1.251133,1.907482,2.213690,2.004925,2.132832,2.187107,2.541990,2.429071,2.207152,1.668650,1.282435,1
1.455532,1.968192,2.050920,2.014165,2.177154,2.507409,2.406917,2.126037,1.699704,1.436732,2.012815,2.137621,2.470809,2.377459,2.252350,2.403456,2.358519,2.217767,1.691669,1.276703,1.707000,2.043157,2.381649,2.281040,2.135608,2.232374,2.216574,2.042504,1.595302,1.277349,1.644890,1.960588,2.086306,2.057151,2.254232,2.604163,2.503717,2.247525,1.480734,1.227664,1.800563,1.970066,2.182242,2.134937,1.870502,2.414482,2.295239,2.240855,1.580168,1.257532,1.911935,2.243744,2.375497,2.335548,2.460560,2.500936,2.481720,2.245591,1.845939,1.641161,2.224454,2.317717,2.517945,2.474958,2.351293,2.322293,2.329738,2.019281,1.871956,1.789348,1.587729,2.115641,1.904520,2.014225,2.032310,2.695693,2.545821,2.319359,1.517269,1.230292,1.455512,1.838368,1.890717,1.903990,1.784702,2.216722,2.108246,1.945755,1.668462,1.452720,1
1.778502,1.911276,2.008975,2.004653,2.263774,2.682781,2.541845,2.200179,1.669218,1.287736,1.777607,2.329142,2.728669,2.557527,1.917886,2.053470,1.977843,1.913681,1.478454,1.290604,1.959502,2.459152,2.898925,2.737406,2.195752,2.335809,2.252713,1.927659,1.575879,1.262961,2.000775,2.445880,2.659020,2.544215,2.137291,2.594209,2.471744,2.189266,1.414239,1.184574,1.952176,2.340167,2.729891,2.566404,1.914264,2.271877,2.160124,2.031974,1.405398,1.277416,1.970219,2.544033,2.646066,2.568271,2.036353,2.354820,2.258619,2.168576,1.745872,1.566991,2.175251,2.340184,2.711980,2.557579,2.070448,1.974872,1.979519,1.775140,1.745267,1.708136,1.711226,1.985639,2.084883,1.977651,2.170003,2.794793,2.630348,2.323842,1.466681,1.042409,1.565942,1.996086,2.154298,2.073782,1.995295,2.415610,2.290922,2.052095,1.547382,1.375270,1
1.480823,1.976205,2.180528,2.063196,2.626338,2.603009,2.557263,2.209141,1.818445,0.971288,1.526067,2.288349,2.575296,2.419936,2.188143,2.117768,2.099125,1.921347,1.516879,1.255996,1.755294,2.492588,2.806634,2.650120,2.651268,2.526494,2.510777,1.877850,1.529115,1.113111,1.792744,2.430096,2.675944,2.536897,2.263257,2.341557,2.299700,1.920205,1.363576,1.081835,1.749023,2.156768,2.479237,2.335863,2.192112,2.160735,2.096755,1.653287,1.371535,1.076704,1.919389,2.523606,2.675489,2.572776,1.928024,1.973786,1.946170,1.880764,1.545056,1.423505,1.897244,2.062548,2.442870,2.302530,1.908343,1.791210,1.817814,1.616371,1.806060,1.747442,1.715639,2.168421,2.249440,2.171241,2.365832,2.565914,2.456382,2.085961,1.521425,0.934295,1.751000,2.119539,2.021755,2.055036,2.216494,2.368319,2.277371,2.037045,1.628327,1.060984,1
2.447095,2.492640,2.472847,2.432474,2.575172,2.512459,2.523278,2.184312,1.718840,1.192346,2.346485,2.632509,2.584208,2.596197,2.533849,2.011550,2.301509,1.912308,1.643704,1.224961,2.319033,2.543295,2.489915,2.469260,2.629275,2.357503,2.471208,1.849048,1.493283,1.207773,2.824208,2.930107,2.617512,2.809155,2.648189,2.421206,2.531782,2.142137,1.486378,1.163676,2.224739,2.503229,2.412526,2.429377,2.188618,2.253409,2.221461,1.951771,1.503021,1.062659,3.164764,3.344449,3.044403,3.225435,2.856207,2.283982,2.616533,1.872142,1.607484,1.442973,2.687864,2.767041,2.350126,2.606819,2.159330,1.920592,2.030156,1.949788,2.039974,1.873894,2.578590,2.458108,2.197839,2.371172,2.477662,2.436128,2.457844,2.212204,1.474910,1.126942,1.793218,2.138377,2.169931,2.086029,2.159594,2.030262,2.101602,1.714953,1.548559,1.018337,1
2.464091,2.664682,2.715981,2.682287,2.337337,2.345508,2.303856,1.796462,1.623798,1.262034,2.419749,2.647291,2.542082,2.613595,2.497200,2.016227,2.272141,1.888631,1.624926,1.095478,2.602992,2.768530,2.556052,2.678162,2.516504,2.216683,2.345980,1.804326,1.538815,1.149934,2.641398,2.930541,2.615069,2.812894,2.358972,2.131682,2.255989,1.977656,1.530169,1.253618,1.996670,2.272780,2.464276,2.350167,2.365513,2.258997,2.301645,1.919331,1.381381,0.947709,2.654486,3.001320,2.739968,2.908661,2.481867,2.114861,2.338387,2.099401,1.676034,1.518767,2.126771,2.153490,2.489348,2.351117,2.354950,2.110302,2.217806,2.087579,2.088764,1.911138,2.497755,2.691254,2.626305,2.664530,2.189559,2.074898,2.136338,1.862343,1.511833,1.242340,1.985481,2.364681,2.419609,2.366988,2.066568,2.112102,2.093053,1.739731,1.464325,1.031424,1
