@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.367060,2.650303,2.449047,2.557909,2.301607,2.076554,2.161476,1.708682,1.920331,1.698431,2.581898,2.672358,2.402389,2.564599,1.782547,1.854805,1.797125,1.866552,1.735142,1.496004,2.406274,2.681627,2.677406,2.698311,2.016256,1.821542,1.886609,1.689132,1.799497,1.603208,2.236578,2.322241,2.171457,2.265500,2.120279,1.786623,1.927360,1.739045,1.717395,1.568367,2.398031,2.635771,2.561601,2.610616,1.979252,1.956041,1.974162,1.787830,1.807762,1.573640,2.233229,2.498414,2.262199,2.368777,1.923694,1.870684,1.886912,1.893603,1.803835,1.664642,2.749625,2.810976,2.487918,2.693065,1.721915,2.038130,1.953424,1.989416,1.863628,1.649843,2.448972,2.586884,2.411824,2.516774,2.127478,1.852267,1.961803,1.702358,1.754534,1.571223,2.382316,2.618412,2.443779,2.557739,2.206204,2.093186,2.133564,1.968916,1.898359,1.630013,1
2.235005,2.550437,2.529246,2.504951,2.424268,2.683006,2.592447,2.557868,2.151386,1.574597,2.512242,2.642603,2.435793,2.550831,1.940469,2.037522,2.006916,2.112471,1.890361,1.372658,2.421746,2.553427,2.312852,2.454748,1.917658,2.256683,2.141047,2.224694,1.899102,1.539287,2.053643,2.178673,2.065363,2.119094,2.010014,2.075099,2.007567,1.922643,1.812005,1.446596,2.782043,2.896015,2.509552,2.754349,2.095108,2.422400,2.335455,2.396733,2.027400,1.406222,2.009092,2.112241,2.154298,2.129682,1.872103,1.997246,1.917624,1.912561,1.865008,1.588792,2.890656,2.973532,2.577591,2.838358,2.071473,2.108244,2.128598,2.227492,2.034647,1.541242,1.973543,2.334983,2.229598,2.254472,2.194316,2.470733,2.390052,2.439422,2.131711,1.572035,2.467374,2.560913,2.432725,2.512055,2.421834,2.691318,2.591205,2.561724,2.061860,1.472523,1
1.966352,2.338188,2.207260,2.252317,2.568758,2.641266,2.611074,2.504024,2.083960,1.558997,1.981661,1.983690,2.142806,2.098314,2.005141,2.164433,2.144553,2.392932,2.089959,1.319277,2.122557,2.212757,2.086206,2.172882,2.246840,2.248017,2.275814,2.311822,2.004838,1.428730,1.772261,2.037922,2.060638,2.063772,2.307920,2.114773,2.225175,2.074853,1.896361,1.300996,2.181441,2.426817,2.227107,2.337133,1.970062,2.337517,2.245643,2.445213,2.119087,1.505295,1.823165,2.057515,2.206316,2.191029,2.165687,2.103382,2.178632,2.268126,2.033419,1.381003,2.220040,2.289976,2.210045,2.263699,2.006477,2.132609,2.124114,2.458351,2.214993,1.612351,1.784566,2.499687,2.428555,2.398525,2.535799,2.473891,2.508296,2.326527,2.058547,1.434260,2.003226,2.398761,2.358186,2.368031,2.388388,2.591338,2.510869,2.540042,1.998389,1.416617,1
1.997438,2.428800,2.251240,2.322392,2.608372,2.144192,2.392068,1.986746,2.029753,1.725663,2.083675,2.067588,1.877859,2.020409,2.141504,1.912165,2.024617,2.011182,1.969666,1.463909,2.061476,2.303809,2.163120,2.229976,2.160910,2.100992,2.135404,2.203006,2.042405,1.438349,1.913927,2.119646,2.047859,2.088187,2.378491,2.031538,2.201612,1.917477,2.017008,1.408263,2.338419,2.552226,2.356592,2.465845,1.913490,1.814174,1.852825,2.051805,2.009966,1.466666,1.825949,2.093039,2.173404,2.168127,2.281152,2.138134,2.221773,2.092377,2.125044,1.488463,2.435185,2.510290,2.247807,2.405838,2.096088,1.810826,1.958405,2.100036,2.058383,1.640453,1.763439,2.494248,2.518615,2.432632,2.653556,2.199536,2.424375,1.967418,1.982545,1.659589,2.131166,2.429310,2.386125,2.404944,2.181426,2.185701,2.162796,1.981080,1.784998,1.480178,1
1.860339,2.156486,1.749718,2.041321,2.158315,1.921344,2.074652,2.055306,2.048036,1.633933,2.054128,2.017384,2.193145,2.153703,1.837233,1.917865,1.871623,2.012628,1.955465,1.547423,2.231694,2.302906,2.173758,2.262561,1.875268,2.166606,2.108662,2.312785,2.133948,1.617588,2.165389,2.227028,1.878963,2.150100,1.916385,2.103893,2.042336,2.113312,2.113852,1.491614,2.350497,2.258988,2.169350,2.251446,2.092149,2.119799,2.112350,2.112650,1.996493,1.543545,2.210798,2.256747,1.948989,2.196841,1.856338,2.217333,2.103397,2.145252,2.190775,1.479696,2.481256,2.394285,2.252286,2.366298,1.957076,2.145454,2.074911,2.077195,2.055097,1.724055,1.743071,2.164570,1.837634,2.042354,2.104721,2.072142,2.082277,2.062701,2.071177,1.752901,2.182242,2.188210,2.001071,2.136544,2.207361,2.192019,2.206690,2.149343,1.947045,1.502335,1
2.756906,2.856801,2.270722,2.671382,2.360105,2.321624,2.359570,2.182710,1.942890,1.740888,2.552266,2.387789,2.257566,2.326233,2.106786,2.121511,2.123054,2.063629,1.843310,1.485064,2.851950,2.780993,2.363399,2.645192,2.189336,2.353282,2.306378,2.322181,2.056282,1.653631,2.746945,2.732551,2.361636,2.620050,1.952991,1.998770,1.997768,2.084729,1.879622,1.504436,2.733202,2.720387,2.430779,2.595155,2.408266,2.396422,2.394323,2.091648,1.769243,1.524826,2.829690,2.773086,2.439810,2.674840,1.927258,2.082112,2.012449,2.088027,1.894135,1.523375,2.661352,2.663479,2.331391,2.526698,2.377924,2.336251,2.357521,2.035121,1.754708,1.585209,2.531780,2.747359,2.232448,2.581013,2.190130,2.111715,2.179949,2.056505,1.965244,1.764734,2.730676,2.807153,2.403064,2.642774,2.363769,2.460511,2.453759,2.297944,1.881439,1.687059,1
2.108863,2.242282,2.348977,2.253845,2.554457,2.412485,2.474968,2.151401,2.024398,1.736837,2.514623,2.867635,2.723943,2.763422,2.181884,2.114289,2.144247,1.900532,1.803108,1.546204,2.549087,2.730498,2.597666,2.631897,2.350220,2.291238,2.301022,1.968620,1.935000,1.619375,2.357520,2.483603,2.338853,2.374315,1.928179,1.847203,1.892057,1.656522,1.737292,1.537390,2.552314,2.746017,2.554851,2.623245,2.473850,2.410022,2.424420,2.027521,2.054576,1.704992,2.429290,2.645733,2.590401,2.566190,1.896866,1.892824,1.896759,1.754765,1.788495,1.622462,2.629543,2.908463,2.622694,2.769185,2.431365,2.277819,2.339240,2.109551,2.082821,1.616602,2.059587,2.149818,2.206022,2.183121,2.237726,1.957844,2.101646,1.820710,1.896339,1.608788,2.256549,2.555869,2.514248,2.468848,2.452971,2.356458,2.402308,2.153603,1.961250,1.715667,1
2.223389,2.427023,2.609081,2.493997,2.361427,2.288784,2.289559,2.274740,2.110682,1.767214,2.440948,2.796240,2.678671,2.712002,2.575459,2.152009,2.405892,2.068308,2.034225,1.652696,2.496223,2.825300,2.878379,2.830957,2.634711,2.326982,2.495015,2.172673,2.107856,1.712344,2.257533,2.553761,2.521236,2.526602,2.363049,1.885481,2.159730,1.971002,1.949726,1.629057,2.466277,2.716925,2.733853,2.737286,2.597134,2.360418,2.502441,2.280287,2.202173,1.861530,2.175784,2.443488,2.469049,2.438402,2.283472,2.018525,2.169943,2.022210,1.975414,1.708309,2.540859,2.859262,2.693601,2.783856,2.710300,2.226896,2.537716,2.249230,2.180864,1.702747,2.012381,2.247040,2.260540,2.260292,2.326963,1.933443,2.086215,1.997278,2.055002,1.596897,2.097272,2.328978,2.550578,2.460579,2.407148,2.487733,2.468690,2.658929,2.241078,1.788823,1
2.225085,2.721370,2.393043,2.591987,2.291898,2.233123,2.238899,2.414745,2.016860,1.762407,2.553038,2.917506,2.500983,2.765620,2.519634,2.203526,2.384912,2.288151,1.979010,1.590833,2.525338,2.911873,2.491199,2.785753,2.429879,2.280705,2.375468,2.423481,2.034806,1.637952,2.301272,2.620956,2.086025,2.459740,2.299307,1.939033,2.148040,2.164596,1.959349,1.617378,2.487598,2.870349,2.643483,2.793225,2.586568,2.325305,2.493205,2.411507,2.038498,1.668176,2.243518,2.551811,2.289496,2.449162,2.264033,2.016544,2.172672,2.200247,1.973028,1.668365,2.540377,2.959287,2.775407,2.872779,2.730326,2.281031,2.565232,2.303392,2.003643,1.653710,2.011256,2.324866,1.884620,2.184452,2.270309,2.126396,2.144940,2.081280,1.968618,1.717187,2.088995,2.523866,2.368243,2.474095,2.288846,2.432720,2.399968,2.773593,2.268738,1.700814,1
2.385249,2.619885,2.170481,2.448139,1.906874,1.937206,1.897555,2.183922,1.916754,1.484790,2.263492,2.890098,2.686426,2.751924,2.272807,2.106394,2.204831,2.128659,1.884410,1.409609,2.306211,2.927208,2.706414,2.784030,1.907690,1.995737,1.942124,2.234258,1.928072,1.359024,1.840090,2.561297,2.345649,2.430202,1.760431,1.756055,1.773127,1.934385,1.724622,1.370684,2.372357,2.827077,2.675300,2.696328,2.173072,2.178953,2.172507,2.177851,1.976984,1.476706,1.989486,2.650873,2.547580,2.557868,2.013253,1.980765,2.010320,2.064962,1.939884,1.555475,2.457192,2.913988,2.798935,2.793769,2.507890,2.176552,2.344107,2.060816,1.959622,1.592566,1.976549,2.398048,2.130668,2.270503,1.688979,1.762593,1.725793,1.935348,1.810884,1.422268,2.505139,2.686852,2.409125,2.547508,2.123067,2.021911,2.054589,2.191365,1.871405,1.515497,1
2.484012,2.635514,2.546299,2.552189,2.052777,2.185497,2.125722,2.111158,1.972940,1.560020,2.101349,2.777336,2.591417,2.615306,2.093251,1.839817,2.005517,1.995652,1.917040,1.387041,2.379786,2.816721,2.665624,2.676896,2.194925,1.767229,2.023884,1.904471,1.969146,1.438845,1.883808,2.684199,2.512868,2.534511,1.844899,1.796020,1.816926,2.000164,1.831866,1.283405,2.174598,2.801376,2.609199,2.651692,2.251234,1.634569,2.042024,1.684480,1.905104,1.494781,1.877054,2.717136,2.566721,2.565241,1.997271,1.984284,2.009695,2.118776,1.915963,1.356349,2.380093,2.890245,2.675291,2.732386,2.437392,1.889624,2.246888,2.000104,1.989525,1.636688,2.073021,2.728229,2.637021,2.623736,1.951201,1.953435,1.946988,1.881680,1.833238,1.388794,2.385824,2.502856,2.319682,2.396515,2.133325,2.049803,2.109972,1.958867,1.836778,1.546116,1
1.562178,1.719181,1.973937,1.852874,2.391541,2.333923,2.361376,1.804567,1.834671,1.475848,1.967590,2.070193,1.930685,2.041536,2.260197,2.135512,2.223729,2.041207,1.925417,1.356693,1.930017,2.051744,2.190315,2.144443,2.540802,2.200306,2.400459,1.838948,1.939595,1.440034,1.648352,1.725392,1.736081,1.763276,2.153405,1.799900,2.018877,1.801468,1.858246,1.242465,1.703194,1.928821,2.032381,1.970816,2.348989,2.224748,2.280969,1.803722,1.849923,1.433933,1.823747,1.991231,1.959863,2.003288,2.175330,1.996272,2.106379,2.040653,1.884964,1.365844,1.858973,1.681456,1.907158,1.782032,2.333548,2.244416,2.286094,2.170910,2.031467,1.600684,1.509992,1.663257,1.721358,1.694030,2.125981,2.172288,2.164940,1.780318,1.799984,1.361825,1.745053,1.959922,2.018058,1.970973,2.451960,2.357792,2.390066,1.851216,1.735659,1.463159,1
2.590880,2.636792,2.436548,2.584682,2.557962,2.212166,2.425902,2.005289,1.946325,1.593660,2.930099,3.062400,2.629753,2.934999,2.465393,2.074900,2.300916,1.913522,1.955769,1.374306,2.933911,3.080591,2.669893,2.943825,2.746767,2.215951,2.538626,1.926252,2.041663,1.428308,2.567807,2.554451,2.369208,2.513634,2.474112,1.828783,2.276605,1.676000,1.806778,1.304886,2.570670,2.763888,2.447588,2.658108,2.516845,2.131284,2.349426,1.773477,1.869979,1.467603,2.764373,2.748548,2.469500,2.675278,2.465786,1.895860,2.269185,1.879161,1.933254,1.307494,2.517782,2.684693,2.484388,2.621597,2.320274,2.042113,2.207074,2.034014,1.948747,1.583827,2.378940,2.552968,2.279459,2.459634,2.378945,1.954861,2.230324,1.804692,1.856022,1.578769,2.480094,2.586166,2.346384,2.502263,2.612263,2.239548,2.453604,1.943873,1.753703,1.390661,1
