@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute state {1,2}

@data
2.753968,2.699536,2.206273,2.554678,2.504213,2.154928,2.330628,2.125963,1.700871,2.772582,2.818411,2.833408,2.839018,2.075027,1.704213,1.933620,1.792323,1.641049,2.634215,2.762135,2.584852,2.715506,2.206612,1.581125,1.956656,1.359402,1.601586,2.814045,2.836787,2.565182,2.746213,2.227163,1.356714,1.970800,1.467467,1.489787,2.028594,2.391153,2.208422,2.292320,1.742607,1.577026,1.668054,1.657245,1.489831,3.026320,3.082772,2.972243,3.039120,2.324700,1.805079,2.137120,2.027628,1.879719,2.018826,2.428250,2.553163,2.458539,1.950400,1.589139,1.834644,1.748817,1.733936,2.656201,2.674158,2.102132,2.493920,2.145091,1.640979,1.952822,1.727048,1.449899,2.089584,2.276958,2.096328,2.200804,2.184462,2.053806,2.085495,1.971160,1.615018,1
1.998098,2.433427,2.196375,2.336052,1.889060,2.263362,2.166275,2.329208,1.788282,2.477002,2.793342,2.640295,2.687850,2.062912,2.102816,2.106293,2.109319,1.722316,2.469462,2.800118,2.569840,2.695662,2.069505,2.116953,2.130977,2.160489,1.769340,2.536436,2.786952,2.649826,2.707715,2.013886,1.938258,1.996072,1.981469,1.604933,2.226234,2.525393,2.116067,2.354759,1.535428,1.843270,1.766178,1.898691,1.562301,2.689633,2.880224,2.725232,2.789990,1.996753,2.038581,2.047812,2.107864,1.826362,2.344667,2.719987,2.494793,2.588405,1.798159,2.094980,2.030151,2.155858,1.976577,2.351941,2.688046,2.361440,2.558621,2.058375,2.148104,2.125144,2.104532,1.603411,1.647171,2.301871,2.075092,2.177637,1.630736,1.923753,1.860061,2.047885,1.685189,1
1.828092,2.095036,2.057528,2.069691,1.963487,2.349190,2.224674,2.340909,1.825565,2.331240,2.780726,2.540061,2.671010,1.981921,2.129887,2.107220,2.236047,1.734315,2.272227,2.612834,2.522804,2.576465,2.170282,2.235783,2.234566,2.245542,1.804322,2.379300,2.712195,2.523481,2.613815,2.036272,1.982921,2.023136,2.030864,1.648959,2.339390,2.638927,2.155263,2.485358,1.760354,1.893296,1.876790,1.975574,1.620127,2.404119,2.821986,2.619026,2.705811,1.984932,2.058656,2.060249,2.157260,1.769874,2.577971,2.917962,2.596472,2.801065,2.207901,2.021070,2.154507,2.183213,1.894842,1.809099,2.365957,2.292389,2.312515,2.133914,2.123371,2.110281,2.014007,1.589858,1.671532,1.959851,1.904765,1.944050,1.668266,2.016984,1.905875,2.058026,1.766725,1
2.109933,2.218426,2.105285,2.159429,2.089663,2.090333,2.059816,1.937669,1.550532,2.124142,2.373130,2.120029,2.261422,2.053604,1.804004,1.911841,1.461507,1.268035,2.317822,2.367424,2.203154,2.299998,1.980191,1.710665,1.847959,1.497149,1.447314,2.300404,2.452303,1.969637,2.292747,1.914429,1.784233,1.847041,1.650479,1.349227,1.776213,1.977010,1.821204,1.882591,1.787237,1.613478,1.674136,1.429468,1.307419,2.162396,2.452304,1.966412,2.304717,2.095074,1.907443,2.020048,1.842347,1.578918,2.127825,2.356807,2.262508,2.285146,2.067920,1.686595,1.885714,1.483781,1.585708,2.029546,2.274959,2.196470,2.197366,1.939779,1.812083,1.805357,1.623651,1.482114,1.469864,1.747753,1.944184,1.883876,1.822678,1.850367,1.814659,1.773181,1.704622,1
2.370133,2.686043,2.076021,2.517231,2.278442,1.932845,2.074965,1.763659,1.583395,1.700835,2.445035,2.476500,2.410312,2.212150,1.828327,2.039292,1.721423,1.505427,2.346038,2.845582,2.507952,2.681506,2.389268,1.740378,2.149684,1.769193,1.646715,2.247998,2.586087,2.129822,2.403471,1.949777,1.692043,1.825488,1.797644,1.536012,1.979079,2.519672,2.312370,2.405141,2.063583,1.312604,1.822728,1.398972,1.361276,2.353899,2.669157,2.430641,2.557147,2.114470,1.917131,2.034186,1.937665,1.713383,2.213106,2.550756,2.476178,2.489264,2.188211,1.753357,2.015007,1.485206,1.788861,2.287220,2.606640,2.169603,2.445588,1.957913,1.732228,1.830747,1.701971,1.551227,2.086202,2.528927,2.125206,2.402589,2.240804,1.865518,2.020891,1.712793,1.517221,1
2.154660,2.437088,2.170882,2.361801,2.205043,2.021584,2.096787,1.909501,1.727883,1.810026,2.509943,2.600173,2.502047,2.232023,1.917500,2.082331,1.674859,1.498673,2.012392,2.720626,2.584662,2.617674,2.423535,1.868415,2.207679,1.762867,1.646371,1.991282,2.478794,2.312575,2.353407,1.976427,1.644953,1.829170,1.722815,1.516471,1.791670,2.462851,2.408189,2.403065,2.177181,1.576578,1.965165,1.608069,1.438876,2.165209,2.567172,2.368955,2.435904,2.126501,1.839848,1.984048,1.717969,1.585842,1.934581,2.495950,2.609876,2.522373,2.302262,2.021912,2.189533,1.799108,1.819709,2.179561,2.383086,1.810200,2.223654,1.855888,1.920608,1.895813,1.768577,1.460723,1.806417,2.223851,2.118728,2.193532,2.134448,1.987292,2.041414,1.929948,1.710672,1
1.751871,1.854621,2.266442,2.148032,2.152944,2.234916,2.196819,2.179001,1.780488,2.071016,2.344387,2.332404,2.335058,2.214496,1.725529,2.035409,1.673482,1.473084,1.617191,1.926273,2.120463,2.017791,2.211359,1.541449,1.995668,1.704927,1.672500,1.948833,2.072300,1.948974,2.003021,2.089404,1.744726,1.964648,2.012554,1.649587,1.369623,1.990368,2.287141,2.147502,2.038790,1.696154,1.915686,1.836205,1.601367,2.201346,2.409082,2.098647,2.279558,2.112213,1.734655,1.962561,1.920584,1.632801,1.784059,2.317629,2.471358,2.388416,2.299209,2.165195,2.247465,2.021393,1.791257,1.715519,2.050393,1.886056,1.989498,1.952856,2.092891,2.051714,2.094410,1.692224,1.617439,1.675952,2.052154,1.926437,1.837853,1.872311,1.858039,1.850213,1.620362,1
1.812602,2.203309,2.015941,2.092286,2.169580,2.371148,2.241414,2.033665,1.591690,1.628299,2.376765,2.483243,2.338952,2.108480,1.794079,1.964839,1.777035,1.438412,1.235193,2.045414,2.053815,1.964265,2.225639,1.767086,2.035587,1.684646,1.511865,1.876924,2.517288,2.491801,2.391706,1.972038,1.610777,1.809850,1.492685,1.409664,1.665025,1.780244,2.035318,1.901380,1.831815,1.661667,1.735468,1.645170,1.351928,2.190740,2.711761,2.641966,2.570426,2.121813,1.819403,1.964177,1.736572,1.642263,2.165496,2.183453,2.335469,2.268088,2.082932,1.925088,2.025408,1.942968,1.727083,1.728754,2.545574,2.345054,2.379620,1.711519,1.954759,1.870724,1.836615,1.451292,2.019612,2.060825,1.833014,1.952388,1.847207,1.938418,1.860766,1.832751,1.488292,1
1.910207,2.620081,2.409765,2.515737,2.201492,2.436075,2.340675,2.257800,1.759703,2.332027,2.946460,2.656210,2.758718,2.095128,1.950843,2.011706,1.889646,1.579121,2.315001,2.928233,2.682851,2.801747,2.256536,1.812115,2.068502,2.002881,1.696165,2.702272,3.063243,2.895229,2.917221,2.022983,1.742029,1.900904,1.680827,1.536184,2.623046,2.686682,1.971204,2.510161,1.904439,1.809129,1.880428,2.099956,1.588923,3.044095,3.352950,3.065981,3.172729,2.271163,2.044398,2.157654,1.903797,1.725800,3.065016,2.996700,2.318155,2.821660,2.191309,2.097201,2.180527,2.165991,1.890166,2.221491,2.797759,2.531305,2.630915,1.893527,2.033620,2.000517,1.914944,1.541273,2.176500,2.361282,2.173111,2.286622,2.071591,1.844577,1.938087,1.790045,1.720775,1
1.808953,2.005985,2.133241,2.072073,2.009527,2.354228,2.238105,2.219307,1.683175,2.215737,2.421078,2.220734,2.279117,1.722422,1.841048,1.758605,1.623737,1.387533,2.151494,2.411680,2.334711,2.321123,1.633757,1.898682,1.822809,1.976229,1.570280,2.285609,2.290492,2.083252,2.202881,1.662246,1.877682,1.801482,1.739057,1.418384,2.075912,2.280022,2.111689,2.190571,1.570651,1.777233,1.702338,1.958930,1.450629,2.350925,2.351612,2.318019,2.341691,1.616264,1.737284,1.688403,1.593283,1.499111,2.258247,2.607909,2.519652,2.519560,2.068889,1.905678,1.978760,1.887634,1.710404,1.891696,1.946763,1.762648,1.871460,1.869021,2.109926,2.011737,1.889547,1.442214,1.844442,1.784958,2.002884,1.947950,2.144297,2.010288,2.065006,2.066291,1.639009,1
