@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.447862,2.406625,2.132808,2.293908,2.282262,1.756195,2.092705,1.786825,1.369914,0.743577,1.969083,2.726755,2.948806,2.799687,2.347654,1.966096,2.186638,1.999700,1.645422,0.826704,2.022337,2.707450,2.813831,2.730295,2.202020,1.815859,2.042902,1.847189,1.573461,0.933762,1.339136,2.252355,2.468757,2.315999,2.023072,1.827848,1.941341,1.842680,1.431306,0.750416,1.801111,2.487117,2.521279,2.453914,2.189355,1.798261,2.023752,1.819080,1.491160,0.777066,2.202891,2.586766,2.776177,2.648829,2.377940,1.988637,2.219103,2.040360,1.639655,0.937727,1.896748,2.644053,2.704378,2.621654,2.223342,2.005616,2.127548,2.061952,1.710481,1.305957,2.042111,1.812165,1.843831,1.841684,1.772485,1.683406,1.740284,1.645384,1.223540,0.730954,2.185472,2.430323,2.221694,2.320388,2.153757,1.594208,1.946864,1.607471,1.293647,0.658963,1
2.463899,2.287232,1.979589,2.213692,2.304367,1.695448,2.091705,1.817246,1.434732,0.897935,2.274204,2.590952,2.718915,2.627506,2.167151,1.951712,2.067098,1.950457,1.645938,0.999723,2.206242,2.666378,2.541798,2.594217,1.890747,1.761376,1.843964,1.843606,1.588467,1.074835,1.836563,2.064025,2.108998,2.074478,1.741243,1.749565,1.744907,1.739026,1.411450,0.822761,2.364580,2.611283,2.185748,2.460344,1.817647,1.774722,1.802847,1.882921,1.568969,1.032827,2.354895,2.591197,2.684154,2.621999,2.302881,2.002705,2.172188,2.020269,1.630755,1.036528,2.374717,2.703079,2.455155,2.590241,1.860206,1.918845,1.895477,2.053800,1.777367,1.449288,2.149258,1.960126,1.697029,1.908071,1.775511,1.455930,1.673058,1.653320,1.340725,0.922848,2.344905,2.345619,2.007708,2.258323,2.232567,1.657512,2.044639,1.767197,1.427737,0.888165,1
2.245891,2.539135,2.004764,2.374073,2.066419,1.796093,1.929595,1.830256,1.459923,0.747036,2.044087,2.481956,2.348657,2.325976,2.026606,1.863623,1.944591,1.463633,1.244063,0.914827,2.365988,2.871194,2.549801,2.697161,2.135885,1.841774,1.999965,1.582565,1.376638,0.958346,2.134102,2.555769,2.196631,2.390485,1.774367,1.582175,1.664135,1.350861,1.221403,0.804354,2.271268,2.616379,2.297206,2.457208,1.969445,1.714943,1.859460,1.516172,1.320434,0.870598,2.359953,2.507332,2.144168,2.350372,1.845805,1.782393,1.825168,1.686732,1.319150,0.930240,2.283403,2.602119,2.256891,2.426109,1.868915,1.779433,1.811084,1.550089,1.506081,1.306171,2.145807,2.437079,2.044736,2.302672,1.861049,1.479846,1.682617,1.505673,1.195557,0.668563,2.360829,2.515066,1.893155,2.340437,2.088930,1.764303,1.974281,1.720679,1.326642,0.774913,1
1.949062,2.526728,2.304171,2.401539,2.127342,2.079320,2.115347,1.921822,1.407213,0.894442,1.650186,2.632687,2.663673,2.541821,2.208498,2.022628,2.147223,1.928553,1.405082,0.960416,2.096642,2.928333,2.837394,2.792806,2.242066,2.067455,2.163634,1.852114,1.393638,0.924400,1.920374,2.673442,2.590774,2.575521,2.126860,1.909340,2.029259,1.636042,1.296914,0.845423,1.950353,2.652819,2.661597,2.574636,2.110553,2.067629,2.133474,2.048054,1.459278,0.826169,1.998264,2.637516,2.585845,2.555031,2.048411,1.961995,2.041732,1.898591,1.452175,1.015433,2.234679,2.636672,2.590013,2.539197,2.023458,2.009947,2.037256,2.050095,1.629280,1.345750,1.816577,2.417077,2.252078,2.307921,1.978337,1.806259,1.897552,1.542510,1.228085,0.754033,1.636143,2.388262,2.421311,2.356559,2.086712,2.035718,2.104993,1.948667,1.289408,0.651616,1
1.746862,2.173474,2.107067,2.120040,1.897536,2.068511,2.040628,2.122041,1.527274,0.886849,2.149242,2.372192,2.463842,2.350840,2.143268,2.057437,2.134592,2.030525,1.545775,0.938834,2.050120,2.674700,2.682830,2.594276,2.175914,2.168459,2.198545,2.137277,1.606468,1.012974,1.641365,2.304808,2.332633,2.273842,1.906392,1.883226,1.912056,1.829856,1.382489,0.833565,2.260712,2.523260,2.439269,2.427623,2.069375,2.127747,2.138796,2.096719,1.580652,0.880921,1.673832,2.346090,2.454808,2.342291,2.031386,1.979980,2.032946,2.002009,1.576941,1.097846,2.485478,2.486114,2.428778,2.436480,2.222502,1.999109,2.151169,2.058059,1.776395,1.396774,1.527287,1.992854,1.977334,1.967335,1.549024,1.853484,1.779320,1.833053,1.307593,0.787637,1.825014,2.194426,2.214789,2.161123,1.882195,2.125478,2.082757,2.139765,1.443265,0.656775,1
2.151577,1.900565,1.643005,1.815673,1.837072,1.795030,1.839193,2.101851,1.606666,0.943797,2.314874,2.155153,2.030530,2.075789,1.885407,1.808843,1.848513,1.882741,1.507221,0.832790,2.238020,2.323431,2.369166,2.285639,1.907328,1.889868,1.922910,2.070320,1.637724,1.006775,1.808841,1.953498,1.865868,1.870841,1.479653,1.518694,1.507821,1.694433,1.403225,0.887141,2.525265,2.362973,1.723172,2.185385,1.887492,1.843766,1.892492,1.969314,1.542435,0.837223,1.872433,2.143935,2.108682,2.066204,1.560771,1.768027,1.678660,1.811896,1.520329,0.983322,2.499352,2.419442,2.101013,2.303823,2.097452,1.839969,2.008788,1.922126,1.672854,1.224365,1.652429,1.524952,1.662835,1.567626,1.669948,1.590153,1.663408,1.792121,1.408238,0.890897,2.301664,2.052177,1.571918,1.919892,1.947833,1.901356,1.962576,2.037082,1.457702,0.700062,1
2.533855,2.411669,2.150694,2.290690,1.835106,2.028092,1.951988,1.914120,1.416839,0.756805,2.281260,2.341203,2.079268,2.213215,1.944930,1.785072,1.865789,1.846913,1.524476,0.745458,2.588178,2.738614,2.364531,2.568876,2.018735,1.845181,1.913352,1.916177,1.579246,0.846595,2.187273,2.214858,1.983029,2.104334,1.681231,1.599977,1.627203,1.651044,1.371740,0.848140,2.469332,2.503931,2.153101,2.355991,1.739209,1.618771,1.708976,1.915858,1.569624,0.787055,2.350698,2.258945,1.920440,2.149975,1.815935,1.829158,1.819697,1.702114,1.379642,0.962012,2.328934,2.488206,2.378469,2.413262,1.978818,1.769976,1.912660,1.922790,1.666437,1.248913,2.264123,2.215823,1.958205,2.075917,1.675951,1.617005,1.641572,1.510751,1.289015,0.749581,2.409775,2.386771,2.031436,2.244186,1.768342,1.670498,1.751575,1.799343,1.394656,0.649389,1
2.371312,2.447662,2.274382,2.376626,2.012229,1.954889,1.958148,1.655612,1.297347,0.717786,2.471380,2.172304,2.229273,2.270606,2.291468,2.052421,2.148031,1.748650,1.364789,0.809656,2.756589,2.643944,2.396302,2.606020,2.340378,2.116428,2.190314,1.850767,1.474985,0.821057,2.464385,2.351879,2.231816,2.327543,1.939663,1.816302,1.842468,1.631163,1.272839,0.660763,2.430615,2.370930,2.271302,2.350952,2.141454,1.862984,1.995009,1.758173,1.498751,0.882083,2.683326,2.377898,2.081726,2.313731,2.163235,1.955217,2.029762,1.639556,1.340163,0.947480,2.344623,2.423987,2.469790,2.469232,2.415886,2.099874,2.255404,1.855525,1.649582,1.280306,2.249840,2.339179,2.312618,2.307597,1.923655,1.748732,1.804608,1.471561,1.164685,0.728853,2.265560,2.364562,2.150322,2.288299,1.915611,1.708046,1.789119,1.473176,1.242279,0.751184,1
2.071855,2.316243,2.140131,2.245006,1.799989,1.431376,1.666599,1.673741,1.413023,0.851758,2.258416,2.013875,1.958504,1.964948,1.910956,1.881758,1.884687,1.699665,1.294623,0.878741,2.401496,2.071947,1.842718,1.982936,1.906806,1.811628,1.871911,1.713491,1.284235,0.842295,2.101987,2.114942,2.138948,2.127104,1.675020,1.623367,1.692134,1.704989,1.276021,0.824509,2.236396,2.152781,2.050990,2.050267,1.811711,1.527002,1.694345,1.543060,1.340749,0.826530,2.429353,2.167226,1.956187,2.070864,1.801498,1.924436,1.919310,1.954423,1.440966,1.027144,2.111605,2.252533,2.257280,2.169841,1.951493,1.804106,1.840605,1.610429,1.574086,1.327247,1.893324,2.107091,2.222851,2.162108,1.872244,1.443178,1.671045,1.545029,1.244943,0.846903,1.805589,2.020449,1.972962,1.974653,1.564115,1.395867,1.485389,1.650427,1.392698,0.763340,1
1.950278,2.564567,2.345434,2.416047,1.561212,1.747750,1.727110,2.027072,1.593818,0.897306,1.695142,2.273060,2.244837,2.199366,1.760852,1.600394,1.706120,1.810443,1.411301,0.853530,1.674532,2.719006,2.638353,2.594397,1.785441,1.765458,1.803881,2.036859,1.534471,0.846305,1.826197,2.336173,2.294111,2.232035,1.697846,1.710139,1.746946,1.826064,1.282957,0.663128,1.980110,2.624037,2.642680,2.588681,1.890687,1.736411,1.836043,2.064127,1.589463,0.781139,1.819678,1.907467,2.105533,1.991154,1.951798,1.920993,1.976653,1.944829,1.420847,0.944579,2.295196,2.666129,2.609118,2.610270,2.049504,1.490841,1.831510,1.702733,1.662906,1.141369,1.781638,2.474828,2.368264,2.337451,1.701756,1.741890,1.761798,1.824729,1.365216,0.815244,1.516291,2.302941,2.294472,2.233753,1.564166,1.833649,1.773034,2.081587,1.584302,0.759563,1
