@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.339744,2.213096,2.244624,2.297921,2.055902,1.260335,1.824429,1.440529,1.384846,1.143492,2.726727,2.754535,2.759781,2.788862,2.201962,1.765304,2.023808,1.471988,1.319727,0.924455,2.480102,2.462157,2.414312,2.483594,2.163619,1.472447,1.925028,1.264477,1.233871,1.056469,2.324961,2.363400,2.291055,2.360265,2.096498,1.579618,1.900925,1.342108,1.655262,1.463766,2.313759,2.386791,2.278101,2.375632,2.017449,1.474041,1.816984,1.296846,1.287494,1.219247,2.505248,2.604147,2.628835,2.634789,2.112647,1.941655,2.043766,1.862975,1.601828,1.199798,2.735502,2.779647,2.303560,2.639225,1.821950,1.380800,1.654685,1.449332,1.424746,1.152948,2.089513,2.133292,2.095110,2.159191,2.030176,1.219974,1.772526,1.002118,1.441743,1.303258,2.157547,2.112416,2.252616,2.221512,1.819163,1.450628,1.691919,1.448167,1.209554,0.969148,1
1.973493,2.133716,2.044937,2.114985,2.152466,2.075138,2.093626,1.815266,1.439689,1.188779,2.036364,2.570662,2.631506,2.613252,2.167361,2.030275,2.033120,1.467486,1.253681,0.859417,2.158717,2.537198,2.399992,2.481086,1.983968,1.923917,1.865126,1.499171,1.362779,0.992158,2.002088,2.399606,2.358341,2.391475,2.009135,1.821251,1.863518,1.392173,1.423732,1.347373,2.189992,2.342897,2.310651,2.323640,1.862920,1.805525,1.765949,1.460405,1.382599,1.015456,2.068026,2.401779,2.439150,2.444576,2.212337,2.135252,2.123575,1.781996,1.538748,1.298054,2.037221,2.365784,2.412292,2.391124,1.800390,1.963679,1.880336,1.753115,1.415901,1.100718,1.656428,2.083548,2.020811,2.089524,2.130774,1.948032,2.010922,1.739663,1.494511,1.329870,1.909263,1.986323,1.891485,1.935943,1.742974,1.716143,1.719662,1.612096,1.327964,1.025669,1
2.005451,2.435519,2.029456,2.276498,1.872728,2.049953,1.947177,1.797051,1.387333,1.124595,2.123227,2.555601,2.281101,2.434617,2.094036,1.867015,1.939908,1.457534,1.278037,0.887708,2.096647,2.570654,2.440429,2.484104,1.997482,1.941531,1.905409,1.704928,1.519944,1.027370,1.959786,2.394708,2.425050,2.402660,1.969121,1.658045,1.791140,1.531136,1.425854,1.100408,2.086899,2.418034,2.152422,2.263420,1.986818,1.916363,1.886431,1.683083,1.435716,0.957881,2.116048,2.487326,2.367095,2.429210,2.201291,1.929492,2.046463,1.673200,1.599706,1.322628,1.870907,2.405773,2.179805,2.259049,2.068914,2.065506,2.040674,1.780324,1.439152,1.129237,1.421843,2.107922,1.865296,2.007175,1.837946,1.974427,1.894085,1.801167,1.431857,1.224649,1.959624,2.261392,1.887237,2.092235,1.565618,1.704243,1.624548,1.640642,1.388692,0.986521,1
2.116868,2.324112,2.272860,2.270035,1.973971,1.781177,1.846109,1.448245,1.274500,1.044484,2.477129,2.684348,2.758005,2.666063,2.206197,1.959853,2.043398,1.377365,1.254958,0.937559,2.377212,2.629088,2.705833,2.610832,2.307691,1.945558,2.104887,1.297578,1.383693,1.139261,1.987650,2.455767,2.658216,2.503847,2.210791,1.729092,1.988660,1.141343,1.223076,1.071628,2.283060,2.489528,2.392945,2.386511,2.007990,1.754367,1.855005,1.658665,1.441033,0.953192,2.432766,2.675880,2.818832,2.719745,2.190367,1.950770,2.057356,1.512307,1.445065,1.211324,2.421226,2.529619,2.509471,2.473882,2.082220,1.885368,1.938522,1.575471,1.433914,0.973866,1.772159,2.233791,2.294140,2.200363,2.159650,1.840258,1.982170,1.466309,1.243848,1.158528,2.046447,2.211986,1.977000,2.104869,1.864990,1.531067,1.700824,1.358640,1.205931,0.865808,1
1.962943,2.126036,1.915530,2.001550,1.781945,1.655278,1.684415,1.457711,1.249585,1.032376,2.174631,2.571073,2.619560,2.542491,2.194142,1.884696,2.044067,1.735564,1.373113,0.844675,2.035053,2.465760,2.348182,2.340296,2.042295,1.642776,1.837942,1.308775,1.376084,1.220392,1.719309,2.349854,2.406494,2.305645,1.973397,1.732723,1.841271,1.654980,1.443258,1.114981,2.105265,2.403318,2.224253,2.269019,1.878538,1.281056,1.644639,1.027438,1.130617,0.907277,2.236017,2.553264,2.684711,2.592389,2.258474,1.958951,2.122834,1.848502,1.567092,1.190347,2.342186,2.518477,2.530538,2.506189,2.365578,2.064656,2.240082,1.857973,1.533910,1.036157,1.597952,2.026429,2.032177,1.972339,2.020355,1.777212,1.852739,1.535589,1.376328,1.171475,1.995027,2.155402,1.829450,1.998750,1.885951,1.439761,1.687153,1.149694,1.009867,0.875738,1
2.311868,2.264740,1.589512,2.115077,2.017987,2.012094,2.000632,1.658238,1.308679,1.028275,2.178267,2.295296,2.256996,2.323905,2.555980,2.180442,2.365287,1.827579,1.403804,0.794554,2.251929,2.303472,1.894306,2.209913,2.246809,1.790353,2.069492,1.649458,1.383087,1.095312,2.092995,2.177322,1.837483,2.097003,2.096040,1.826412,1.964877,1.760085,1.588790,0.977936,2.248918,2.254089,1.953866,2.193174,2.082205,1.795998,1.938656,1.536460,1.223220,0.936554,2.063897,2.206118,2.159561,2.207013,2.413255,2.113540,2.251579,1.909310,1.575173,1.077819,2.269394,2.442124,2.435559,2.473118,2.491641,2.065309,2.292448,1.786851,1.591600,1.200101,2.184343,2.281111,1.601768,2.120207,1.958629,1.885443,1.897017,1.698383,1.523196,1.186248,2.129995,2.076240,1.121896,1.895550,1.571336,1.544697,1.579634,1.423126,1.048781,0.932812,1
2.230379,2.172711,2.280711,2.266946,2.034035,2.054981,2.062362,1.924101,1.332715,0.999152,2.246644,2.579693,2.667772,2.635516,2.336016,1.857225,2.099516,1.395357,1.243592,0.859488,2.362822,2.531165,2.679771,2.614286,2.190428,1.826932,2.006374,1.415451,1.272883,0.985120,2.276567,2.412769,2.528260,2.482688,2.170953,1.966821,2.053794,1.523699,1.301836,0.939400,2.277401,2.552798,2.413321,2.489292,1.951778,1.619182,1.784596,1.437016,1.282252,0.962645,2.258875,2.550550,2.583197,2.576475,2.271152,1.964319,2.101348,1.500202,1.425289,1.007882,2.341657,2.645583,2.570237,2.624670,2.120889,1.778614,1.933746,1.438435,1.456105,1.187698,1.944859,2.170691,2.334305,2.255972,1.810898,1.947734,1.915546,1.753479,1.383279,1.124015,2.179493,2.291764,2.136717,2.218801,1.625749,1.833165,1.792674,1.721439,1.141249,0.914760,1
2.186780,2.390483,2.580204,2.491343,2.149746,1.733807,1.968326,1.586604,1.291388,1.023801,2.260321,2.781832,2.877227,2.791975,2.176567,1.799929,1.974420,1.522230,1.317614,0.840297,2.283809,2.754251,2.980493,2.851771,2.238393,1.817121,2.026351,1.532807,1.343035,0.991231,2.448745,2.680702,2.695865,2.703097,2.345245,1.844684,2.093200,1.472403,1.379941,1.071922,1.976665,2.677959,2.713089,2.634731,1.971905,1.759378,1.850391,1.625635,1.351016,0.980480,2.294315,2.684440,2.668463,2.676520,2.264599,1.803446,2.038257,1.528326,1.395506,0.968251,2.166918,2.671974,2.713902,2.641974,2.145926,1.927620,2.035519,1.787164,1.540829,1.149298,2.284933,2.378677,2.486941,2.463555,2.115628,1.784008,1.953039,1.497422,1.283868,1.133686,2.169368,2.498932,2.471014,2.463473,1.637599,1.396671,1.538252,1.454168,1.242704,0.906499,1
2.380651,2.582386,2.533319,2.571617,1.796740,1.411663,1.628403,1.432536,1.346021,1.037289,2.588009,2.793473,2.634845,2.708817,2.072051,1.905360,1.952786,1.709877,1.427228,0.824351,2.569629,2.697505,2.650177,2.690346,2.072505,1.888006,1.946639,1.707762,1.398452,0.831951,2.605031,2.809915,2.652339,2.749050,2.620417,2.362443,2.386574,1.338886,1.499512,1.089694,2.668221,2.794114,2.637797,2.732997,1.628127,1.837370,1.788779,1.850647,1.398809,0.724497,2.730437,3.055705,2.770104,2.922287,2.415886,2.128659,2.227695,1.615397,1.444121,0.983832,2.976054,3.034860,2.545087,2.882144,1.764841,1.844995,1.862196,1.919636,1.596237,1.089453,2.413855,2.474712,2.394952,2.471488,1.978503,1.656681,1.779588,1.126364,1.329964,1.048308,2.314031,2.670903,2.591681,2.614405,1.646905,1.614536,1.648726,1.563087,1.338372,0.813986,1
2.367044,2.543138,2.448347,2.499324,1.904608,1.895956,1.870327,1.599268,1.257662,0.910614,2.853876,3.032146,2.737780,2.921562,2.149520,1.967675,1.999321,1.552763,1.336861,0.826421,2.669329,2.906828,2.663598,2.807156,2.077484,2.018213,1.979153,1.628513,1.249293,0.882110,2.566972,2.716622,2.397496,2.616405,2.243848,2.115790,2.073902,1.307086,1.268071,1.057658,2.683668,2.841873,2.607073,2.752136,1.881241,1.808871,1.827101,1.640414,1.270884,0.832971,2.795732,2.936430,2.426871,2.792581,2.094524,1.781154,1.908205,1.325447,1.291386,0.935413,2.867964,3.014190,2.623561,2.881550,2.067124,1.889132,1.972151,1.818790,1.582628,1.024265,2.297356,2.531669,2.353494,2.451091,1.893128,1.673840,1.765555,1.529393,1.310392,0.988595,2.191839,2.522642,2.484082,2.485259,1.727426,1.753147,1.700585,1.419405,1.146835,0.814537,1
