@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute state {1,2}

@data
2.408965,2.450429,2.310426,2.340591,2.075398,2.348376,2.296527,2.253500,2.259996,2.225517,2.243959,1.839920,1.665760,1.725141,2.306177,2.303051,2.107921,2.179473,1.920317,1.920584,1.957843,2.250713,2.300505,2.092294,2.169685,1.806880,1.884759,1.856238,1.843335,1.912094,1.630206,1.779971,1.902307,1.404191,1.723561,2.298275,2.406231,2.382358,2.368852,2.053494,1.869382,1.920239,1.871145,1.822651,2.002410,1.927642,1.828807,1.580388,1.734359,2.038439,2.276316,2.232243,2.222339,1.642108,1.769612,1.741462,1.799359,2.116906,1.944438,1.983802,1.739743,1.953771,1.903419,1
2.706790,2.952067,2.750676,2.853190,2.401279,2.148802,2.320517,2.543599,2.760924,2.609757,2.688959,2.608666,2.528754,2.477123,2.458333,2.508854,2.225348,2.389704,2.440366,2.457457,2.365702,2.449467,2.773344,2.564389,2.664326,2.266519,2.317256,2.231234,1.884612,2.113327,2.056613,2.070400,2.478589,2.447275,2.404453,2.564281,2.879610,2.731624,2.797716,2.549364,2.513025,2.470361,2.208737,2.369345,2.461612,2.412867,2.576210,2.541039,2.473953,2.500908,2.608450,2.445586,2.523110,2.053251,1.795046,1.959085,2.005462,2.049982,2.034688,2.027880,2.002781,2.010294,2.037445,1
2.297443,2.232533,2.028044,2.209086,2.268608,2.128883,2.235044,2.222703,2.422922,2.330626,2.390325,2.568593,2.551444,2.485244,2.271498,2.245246,1.909171,2.158751,2.549469,2.572597,2.494685,2.172900,2.366151,2.274501,2.329347,2.180524,2.194547,2.145490,1.422275,2.021149,2.040152,1.983117,2.260172,2.331581,2.235649,2.241441,2.432760,2.483967,2.467147,2.337734,2.251527,2.236354,1.889435,2.347161,2.393827,2.360086,2.488413,2.505910,2.447126,2.219907,1.997358,1.947333,2.034471,2.091650,2.000540,2.059778,1.658498,2.013184,2.088213,2.045855,1.963537,1.849674,1.915246,1
1.596365,1.826788,1.852893,1.880537,2.333596,2.254062,2.313010,1.839900,2.491219,2.266467,2.350041,2.420946,2.591725,2.506254,1.503873,2.262714,2.209286,2.184196,2.439076,2.538734,2.456487,1.888500,2.365249,2.206355,2.244208,2.098819,2.310881,2.264948,2.057410,2.195949,1.775454,2.061929,2.013227,2.398338,2.265925,2.024007,2.492361,2.349572,2.386967,2.274676,2.385965,2.365657,2.163190,2.319196,2.290134,2.322586,2.312057,2.628613,2.513232,1.425812,1.348790,1.708564,1.584433,2.158998,2.303215,2.245727,1.189181,1.710937,2.027641,1.879877,1.991818,1.948001,1.980259,1
1.873005,2.233759,1.905464,2.079270,1.823985,2.223648,2.119681,1.952945,2.570226,2.355422,2.458817,2.158516,2.497926,2.401556,1.887316,2.408114,2.200449,2.300586,2.066353,2.439948,2.332896,2.009827,2.452157,2.193550,2.324180,2.078511,2.593266,2.467433,2.086419,2.340100,1.881256,2.176564,2.089968,2.469659,2.364384,2.137801,2.604462,2.484394,2.539697,2.215450,2.596346,2.500911,2.111861,2.444798,2.110588,2.302158,1.985708,2.408108,2.277156,1.747695,1.875335,1.725341,1.780127,1.654939,2.499481,2.340423,1.621616,2.021649,1.970848,1.974579,1.965686,2.099883,2.076173,1
1.891763,2.223466,1.873500,2.095803,2.038275,2.458010,2.332892,2.064388,2.212186,2.008624,2.144259,2.084773,1.960848,1.989264,1.938820,2.091879,1.815952,2.024803,1.944873,1.843962,1.891750,2.043157,2.270945,1.930558,2.160330,1.811911,2.162652,2.053173,1.731215,2.048450,1.895752,1.929979,1.987911,1.843206,1.913402,2.172592,2.300032,2.136158,2.253567,1.925054,2.037791,2.005688,1.916814,2.211288,2.145202,2.122863,1.972152,1.985968,1.962209,1.636462,1.859519,1.346370,1.693409,1.280640,2.266412,2.101910,1.597021,2.031290,1.871484,1.944043,1.951841,2.293351,2.179479,1
1.923412,2.115053,2.011515,2.067842,2.008762,2.449844,2.332039,1.564558,2.076375,2.485816,2.342437,2.132803,2.240414,2.181406,1.598927,2.051618,2.261971,2.181711,2.258370,2.226602,2.253823,1.632433,2.107450,2.306436,2.218992,2.332998,2.321883,2.291318,1.753375,1.828105,1.991054,1.950984,2.055518,1.838058,1.946712,1.701774,2.116959,2.360703,2.259915,2.290127,2.409020,2.323869,1.990417,2.051373,2.411325,2.289496,2.159938,2.266211,2.246711,1.790817,2.032424,1.674863,1.887607,1.942607,1.989836,1.982159,1.564612,1.775748,1.635156,1.698361,2.087179,2.148876,2.093606,1
2.087556,2.421652,2.250079,2.299048,2.454264,2.542953,2.542334,1.745663,2.155995,2.616457,2.456285,2.279957,2.200041,2.271172,1.752593,2.195073,2.490770,2.357409,2.422054,2.335950,2.404857,1.745547,2.161916,2.440140,2.312596,2.404923,2.217136,2.280632,1.885950,2.017294,2.211150,2.164071,2.157012,1.998525,2.050492,1.825434,2.284035,2.481729,2.377670,2.231460,2.166235,2.161235,2.119784,2.184414,2.511228,2.403781,2.051073,2.202668,2.158992,1.583475,2.159210,2.122298,2.129890,2.468353,2.239815,2.390626,1.894829,2.090972,1.526752,1.932227,2.172515,2.250199,2.214293,1
1.444097,2.114655,2.169762,2.101718,2.605544,2.424479,2.550405,2.077535,2.005470,2.021193,2.040776,2.261999,2.333557,2.321058,2.028445,2.039240,2.197460,2.157643,2.167270,2.358743,2.295744,1.835185,2.153736,2.171503,2.159016,1.894245,2.043062,2.004063,2.038950,2.061237,1.732426,1.942879,2.061846,2.080481,2.028827,1.884784,2.434249,2.288542,2.335448,1.884790,2.061801,2.000780,2.323866,2.260206,1.903208,2.111841,2.327970,2.347362,2.348108,1.699161,1.924757,2.118234,2.020725,2.384274,2.148578,2.314525,1.295213,1.464860,1.239765,1.392052,2.108934,2.205744,2.174574,1
2.061671,2.335231,2.161643,2.263318,2.363914,2.491990,2.494437,2.331098,2.640962,2.379328,2.526175,2.213060,2.075183,2.147830,2.375496,2.559230,2.364841,2.486718,2.145379,2.182007,2.178569,2.718951,2.921287,2.420965,2.753722,2.111997,2.111634,2.127665,2.190233,2.483294,2.386404,2.411785,2.126535,2.186521,2.159369,2.955458,3.189360,2.673797,3.011855,2.396092,2.183276,2.287608,2.676901,2.843371,2.751347,2.772925,2.478344,2.473859,2.508632,2.052518,2.072622,1.980312,2.034190,2.087803,2.016079,2.100787,1.650033,1.839600,1.716995,1.772210,1.833179,2.068936,2.018727,1
2.053840,2.154466,2.103928,2.149363,2.317926,2.272717,2.322239,2.256440,2.497704,2.374561,2.411893,1.998762,2.062920,2.043235,2.199212,2.256161,2.270369,2.230534,2.273310,2.270378,2.272594,2.221739,2.117194,2.104848,2.124199,2.096398,2.240531,2.138720,2.153867,2.276681,2.127655,2.233164,2.006534,2.258817,2.172369,2.373602,2.290160,2.316305,2.294039,1.884601,1.853499,1.863915,2.330762,2.544688,2.294626,2.455440,2.148051,2.360519,2.295337,1.973644,2.024125,1.924554,1.987972,2.225509,2.204505,2.198994,1.857840,1.784515,1.960526,1.896054,2.054067,2.200525,2.192024,1
2.010238,2.184331,1.910417,2.080372,2.455478,2.402796,2.442733,2.301924,2.523177,2.400302,2.416875,2.123142,2.140495,2.116421,2.324291,2.461952,2.218688,2.336187,2.311977,2.416254,2.387036,2.135695,2.104683,1.861091,1.998805,2.219831,2.120067,2.141079,2.195864,2.373322,2.232671,2.313278,2.175522,2.244415,2.146827,2.289738,2.345459,2.140629,2.239318,2.321878,2.146590,2.195598,2.492347,2.733991,2.460590,2.606593,2.116139,2.267301,2.187593,2.001772,1.986505,1.631673,1.880805,2.275552,2.397239,2.353570,2.003395,2.024301,1.648811,1.913059,2.091432,2.197857,2.167939,1
1.931893,2.203121,2.100149,2.155376,1.778326,2.287172,2.188603,2.558853,2.625490,2.550210,2.608294,2.413104,2.573627,2.528607,2.558602,2.659666,2.580450,2.621816,2.421222,2.638431,2.559710,2.549108,2.607284,2.419882,2.536623,2.392682,2.418908,2.374120,2.251852,2.520320,2.439012,2.474413,2.261444,2.501468,2.416265,2.690554,2.769846,2.429674,2.661862,2.560238,2.543250,2.535418,2.543226,2.797542,2.592562,2.713027,2.087418,2.387177,2.316324,1.973128,2.254166,2.169409,2.208648,1.982277,2.305925,2.171172,2.020519,2.147929,1.892543,2.017101,1.991751,2.133079,2.109177,1
1.851107,2.102139,2.009664,2.088665,1.893255,2.544928,2.426919,2.372357,2.413688,2.392792,2.441498,2.368485,2.373687,2.378983,2.104452,2.373139,2.385608,2.389746,2.166225,2.378365,2.284497,2.212903,2.205242,2.007179,2.166820,2.270021,2.293945,2.262251,1.938351,2.360819,2.381321,2.366581,2.208315,2.403443,2.337173,2.505215,2.550678,2.402710,2.511669,2.569826,2.586675,2.586725,2.354142,2.684350,2.453159,2.600807,2.355770,2.371482,2.361445,1.794385,2.140665,1.968160,2.071042,1.629524,1.978603,1.876891,1.657784,2.138662,1.912345,1.999566,1.781619,2.115508,2.039005,1
1.499425,2.077568,2.044466,2.032200,2.515430,2.826841,2.698772,1.813001,2.133224,2.085378,2.109779,2.179148,2.194954,2.154404,1.713120,2.098754,1.974553,2.039912,2.208910,2.334074,2.227443,1.690418,1.956716,1.805323,1.867731,1.942108,2.146679,2.072325,1.906717,2.087894,1.769247,1.936812,2.184440,2.177210,2.100318,1.916306,2.253367,2.143088,2.190446,2.062452,2.152224,2.114610,2.165537,2.344460,2.066795,2.221189,2.200958,2.251356,2.178766,1.354080,1.854698,1.862751,1.857126,2.072691,2.238989,2.162017,1.478573,1.867477,1.790735,1.840359,2.037035,2.232935,2.118478,1
1.801593,2.336389,2.268373,2.237880,2.515100,2.685930,2.585478,2.127995,2.267399,2.012969,2.151140,2.327463,2.385009,2.402869,2.088492,2.349730,2.250521,2.278774,2.528503,2.453490,2.514712,1.951570,2.268521,2.066364,2.162342,2.137497,2.162523,2.183766,2.293871,2.352278,2.098627,2.232849,2.464988,2.206102,2.338383,2.112952,2.311914,2.171329,2.226657,2.097729,2.286015,2.245775,2.620488,2.708658,2.422450,2.580535,2.572099,2.457554,2.530260,1.627879,2.144004,2.117033,2.094275,2.226884,2.370276,2.319913,2.000344,2.161854,2.016198,2.086410,2.197221,2.080420,2.102478,1
1.648294,2.043513,1.886420,1.925785,2.402247,2.482792,2.428530,1.763893,2.196884,1.723657,2.027730,1.646906,2.201355,2.068122,1.723302,1.832075,1.832403,1.883771,1.935246,2.282207,2.179751,2.016024,1.911169,1.894036,1.950655,1.934312,2.272774,2.183290,2.146538,2.339971,1.529987,2.138065,2.324405,2.418555,2.352695,2.345902,2.494575,2.372065,2.423543,1.978714,2.361753,2.267237,2.534446,2.659321,2.075617,2.492722,2.401025,2.424552,2.394974,1.734719,1.753018,1.458064,1.652905,1.829404,2.013054,1.926679,1.422258,1.944070,1.747985,1.825898,1.995366,2.133454,2.055712,1
