@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.408965,2.450429,2.310426,2.340591,2.075398,2.348376,2.296527,2.539192,2.027065,1.013408,2.253500,2.259996,2.225517,2.243959,1.839920,1.665760,1.725141,1.594051,1.519499,1.206359,2.306177,2.303051,2.107921,2.179473,1.920317,1.920584,1.957843,1.929977,1.531326,1.124071,2.250713,2.300505,2.092294,2.169685,1.806880,1.884759,1.856238,2.004173,1.608421,1.083977,1.843335,1.912094,1.630206,1.779971,1.902307,1.404191,1.723561,1.366187,1.704890,1.595172,2.298275,2.406231,2.382358,2.368852,2.053494,1.869382,1.920239,1.655043,1.594907,1.348876,1.871145,1.822651,2.002410,1.927642,1.828807,1.580388,1.734359,1.485412,1.565792,1.486901,2.038439,2.276316,2.232243,2.222339,1.642108,1.769612,1.741462,2.099066,1.766402,0.841459,1.799359,2.116906,1.944438,1.983802,1.739743,1.953771,1.903419,2.151629,1.711989,1.287738,1
2.706790,2.952067,2.750676,2.853190,2.401279,2.148802,2.320517,2.141616,1.865705,1.310204,2.543599,2.760924,2.609757,2.688959,2.608666,2.528754,2.477123,1.936571,1.731746,1.215148,2.458333,2.508854,2.225348,2.389704,2.440366,2.457457,2.365702,1.892067,1.609185,1.207694,2.449467,2.773344,2.564389,2.664326,2.266519,2.317256,2.231234,2.091223,1.819026,1.173067,1.884612,2.113327,2.056613,2.070400,2.478589,2.447275,2.404453,1.990490,1.851042,1.736308,2.564281,2.879610,2.731624,2.797716,2.549364,2.513025,2.470361,2.221151,2.023918,1.384132,2.208737,2.369345,2.461612,2.412867,2.576210,2.541039,2.473953,2.002296,1.847866,1.677614,2.500908,2.608450,2.445586,2.523110,2.053251,1.795046,1.959085,1.900047,1.591110,1.082750,2.005462,2.049982,2.034688,2.027880,2.002781,2.010294,2.037445,1.916202,1.533082,1.317280,1
2.297443,2.232533,2.028044,2.209086,2.268608,2.128883,2.235044,2.496413,2.064475,1.229475,2.222703,2.422922,2.330626,2.390325,2.568593,2.551444,2.485244,2.164681,1.686259,1.123085,2.271498,2.245246,1.909171,2.158751,2.549469,2.572597,2.494685,2.293344,1.761984,1.164564,2.172900,2.366151,2.274501,2.329347,2.180524,2.194547,2.145490,1.894456,1.628317,1.144409,1.422275,2.021149,2.040152,1.983117,2.260172,2.331581,2.235649,2.056956,1.914845,1.713823,2.241441,2.432760,2.483967,2.467147,2.337734,2.251527,2.236354,1.779202,1.717768,1.275713,1.889435,2.347161,2.393827,2.360086,2.488413,2.505910,2.447126,2.303965,1.937348,1.716580,2.219907,1.997358,1.947333,2.034471,2.091650,2.000540,2.059778,2.234987,1.863174,1.032954,1.658498,2.013184,2.088213,2.045855,1.963537,1.849674,1.915246,2.014686,1.740862,1.215508,1
1.596365,1.826788,1.852893,1.880537,2.333596,2.254062,2.313010,2.469187,2.034346,1.288850,1.839900,2.491219,2.266467,2.350041,2.420946,2.591725,2.506254,2.275307,1.746884,1.211460,1.503873,2.262714,2.209286,2.184196,2.439076,2.538734,2.456487,2.288218,1.730584,1.172341,1.888500,2.365249,2.206355,2.244208,2.098819,2.310881,2.264948,2.137784,1.612608,1.093354,2.057410,2.195949,1.775454,2.061929,2.013227,2.398338,2.265925,2.246152,1.905721,1.588651,2.024007,2.492361,2.349572,2.386967,2.274676,2.385965,2.365657,2.135947,1.681449,1.181710,2.163190,2.319196,2.290134,2.322586,2.312057,2.628613,2.513232,2.400740,2.000445,1.640898,1.425812,1.348790,1.708564,1.584433,2.158998,2.303215,2.245727,2.251736,1.807560,1.169808,1.189181,1.710937,2.027641,1.879877,1.991818,1.948001,1.980259,2.106870,1.904339,1.218090,1
1.873005,2.233759,1.905464,2.079270,1.823985,2.223648,2.119681,2.378229,2.084375,1.284405,1.952945,2.570226,2.355422,2.458817,2.158516,2.497926,2.401556,2.167509,1.785519,1.193059,1.887316,2.408114,2.200449,2.300586,2.066353,2.439948,2.332896,2.215104,1.744238,1.209725,2.009827,2.452157,2.193550,2.324180,2.078511,2.593266,2.467433,2.311467,1.765326,1.332257,2.086419,2.340100,1.881256,2.176564,2.089968,2.469659,2.364384,2.189193,1.919652,1.687600,2.137801,2.604462,2.484394,2.539697,2.215450,2.596346,2.500911,2.344711,1.806267,1.163601,2.111861,2.444798,2.110588,2.302158,1.985708,2.408108,2.277156,2.103663,2.021770,1.746902,1.747695,1.875335,1.725341,1.780127,1.654939,2.499481,2.340423,2.399917,1.915870,1.313368,1.621616,2.021649,1.970848,1.974579,1.965686,2.099883,2.076173,2.299725,1.949272,1.203340,1
1.891763,2.223466,1.873500,2.095803,2.038275,2.458010,2.332892,2.460799,2.087767,1.290542,2.064388,2.212186,2.008624,2.144259,2.084773,1.960848,1.989264,1.549832,1.621949,1.264276,1.938820,2.091879,1.815952,2.024803,1.944873,1.843962,1.891750,1.588218,1.667901,1.245446,2.043157,2.270945,1.930558,2.160330,1.811911,2.162652,2.053173,1.929790,1.563236,1.216595,1.731215,2.048450,1.895752,1.929979,1.987911,1.843206,1.913402,1.807080,1.810481,1.715877,2.172592,2.300032,2.136158,2.253567,1.925054,2.037791,2.005688,1.845336,1.600257,1.352436,1.916814,2.211288,2.145202,2.122863,1.972152,1.985968,1.962209,1.973473,2.071369,1.929306,1.636462,1.859519,1.346370,1.693409,1.280640,2.266412,2.101910,2.263910,1.811011,1.146803,1.597021,2.031290,1.871484,1.944043,1.951841,2.293351,2.179479,2.269077,1.754297,1.229752,1
1.923412,2.115053,2.011515,2.067842,2.008762,2.449844,2.332039,2.298128,1.889729,1.318140,1.564558,2.076375,2.485816,2.342437,2.132803,2.240414,2.181406,1.880897,1.698287,1.111609,1.598927,2.051618,2.261971,2.181711,2.258370,2.226602,2.253823,1.980141,1.750806,1.275360,1.632433,2.107450,2.306436,2.218992,2.332998,2.321883,2.291318,1.945896,1.638094,1.391357,1.753375,1.828105,1.991054,1.950984,2.055518,1.838058,1.946712,1.640942,1.696045,1.615225,1.701774,2.116959,2.360703,2.259915,2.290127,2.409020,2.323869,2.195218,1.838163,1.305994,1.990417,2.051373,2.411325,2.289496,2.159938,2.266211,2.246711,2.174420,2.123131,1.915697,1.790817,2.032424,1.674863,1.887607,1.942607,1.989836,1.982159,2.008655,1.653689,1.142512,1.564612,1.775748,1.635156,1.698361,2.087179,2.148876,2.093606,1.694018,1.604571,1.196624,1
2.087556,2.421652,2.250079,2.299048,2.454264,2.542953,2.542334,2.487189,2.099206,1.254666,1.745663,2.155995,2.616457,2.456285,2.279957,2.200041,2.271172,2.064931,1.773112,1.088731,1.752593,2.195073,2.490770,2.357409,2.422054,2.335950,2.404857,2.142044,1.886253,1.291962,1.745547,2.161916,2.440140,2.312596,2.404923,2.217136,2.280632,1.844563,1.718574,1.132110,1.885950,2.017294,2.211150,2.164071,2.157012,1.998525,2.050492,1.680114,1.758088,1.494117,1.825434,2.284035,2.481729,2.377670,2.231460,2.166235,2.161235,1.928849,1.843353,1.233941,2.119784,2.184414,2.511228,2.403781,2.051073,2.202668,2.158992,2.260808,2.045616,1.681518,1.583475,2.159210,2.122298,2.129890,2.468353,2.239815,2.390626,2.166200,1.817878,0.962925,1.894829,2.090972,1.526752,1.932227,2.172515,2.250199,2.214293,2.094592,1.916431,1.559456,1
1.444097,2.114655,2.169762,2.101718,2.605544,2.424479,2.550405,2.376865,2.014709,1.482278,2.077535,2.005470,2.021193,2.040776,2.261999,2.333557,2.321058,2.273254,1.832852,1.138202,2.028445,2.039240,2.197460,2.157643,2.167270,2.358743,2.295744,2.152063,1.839202,1.233396,1.835185,2.153736,2.171503,2.159016,1.894245,2.043062,2.004063,2.048302,1.840013,1.090076,2.038950,2.061237,1.732426,1.942879,2.061846,2.080481,2.028827,1.807728,1.767133,1.556775,1.884784,2.434249,2.288542,2.335448,1.884790,2.061801,2.000780,2.046991,1.882977,1.289528,2.323866,2.260206,1.903208,2.111841,2.327970,2.347362,2.348108,2.291940,2.087039,1.810037,1.699161,1.924757,2.118234,2.020725,2.384274,2.148578,2.314525,2.057446,1.676605,1.141658,1.295213,1.464860,1.239765,1.392052,2.108934,2.205744,2.174574,2.265981,1.941968,1.613219,1
2.061671,2.335231,2.161643,2.263318,2.363914,2.491990,2.494437,2.678676,2.101226,1.360395,2.331098,2.640962,2.379328,2.526175,2.213060,2.075183,2.147830,2.068542,1.605447,1.007482,2.375496,2.559230,2.364841,2.486718,2.145379,2.182007,2.178569,2.200074,1.722280,1.116028,2.718951,2.921287,2.420965,2.753722,2.111997,2.111634,2.127665,2.087828,1.734755,1.062594,2.190233,2.483294,2.386404,2.411785,2.126535,2.186521,2.159369,2.103446,1.918042,1.572767,2.955458,3.189360,2.673797,3.011855,2.396092,2.183276,2.287608,2.011771,1.725307,1.105073,2.676901,2.843371,2.751347,2.772925,2.478344,2.473859,2.508632,2.385279,1.947154,1.830958,2.052518,2.072622,1.980312,2.034190,2.087803,2.016079,2.100787,2.110201,1.630237,1.158560,1.650033,1.839600,1.716995,1.772210,1.833179,2.068936,2.018727,2.153586,1.644663,1.184548,1
