@relation readingType

@attribute data0 numeric
@attribute data1 numeric
@attribute data2 numeric
@attribute data3 numeric
@attribute data4 numeric
@attribute data5 numeric
@attribute data6 numeric
@attribute data7 numeric
@attribute data8 numeric
@attribute data9 numeric
@attribute data10 numeric
@attribute data11 numeric
@attribute data12 numeric
@attribute data13 numeric
@attribute data14 numeric
@attribute data15 numeric
@attribute data16 numeric
@attribute data17 numeric
@attribute data18 numeric
@attribute data19 numeric
@attribute data20 numeric
@attribute data21 numeric
@attribute data22 numeric
@attribute data23 numeric
@attribute data24 numeric
@attribute data25 numeric
@attribute data26 numeric
@attribute data27 numeric
@attribute data28 numeric
@attribute data29 numeric
@attribute data30 numeric
@attribute data31 numeric
@attribute data32 numeric
@attribute data33 numeric
@attribute data34 numeric
@attribute data35 numeric
@attribute data36 numeric
@attribute data37 numeric
@attribute data38 numeric
@attribute data39 numeric
@attribute data40 numeric
@attribute data41 numeric
@attribute data42 numeric
@attribute data43 numeric
@attribute data44 numeric
@attribute data45 numeric
@attribute data46 numeric
@attribute data47 numeric
@attribute data48 numeric
@attribute data49 numeric
@attribute data50 numeric
@attribute data51 numeric
@attribute data52 numeric
@attribute data53 numeric
@attribute data54 numeric
@attribute data55 numeric
@attribute data56 numeric
@attribute data57 numeric
@attribute data58 numeric
@attribute data59 numeric
@attribute data60 numeric
@attribute data61 numeric
@attribute data62 numeric
@attribute data63 numeric
@attribute data64 numeric
@attribute data65 numeric
@attribute data66 numeric
@attribute data67 numeric
@attribute data68 numeric
@attribute data69 numeric
@attribute data70 numeric
@attribute data71 numeric
@attribute data72 numeric
@attribute data73 numeric
@attribute data74 numeric
@attribute data75 numeric
@attribute data76 numeric
@attribute data77 numeric
@attribute data78 numeric
@attribute data79 numeric
@attribute data80 numeric
@attribute data81 numeric
@attribute data82 numeric
@attribute data83 numeric
@attribute data84 numeric
@attribute data85 numeric
@attribute data86 numeric
@attribute data87 numeric
@attribute data88 numeric
@attribute data89 numeric
@attribute state {1,2}

@data
2.666901,2.675344,2.352102,2.569093,2.202646,1.907157,2.056361,1.762611,1.527826,1.087595,2.041198,2.127004,2.342131,2.248349,2.247269,2.020635,2.129434,1.966009,1.708200,1.367370,2.292127,2.287128,2.447893,2.373419,2.101465,1.887698,1.947950,1.682348,1.586714,1.287211,1.634815,1.884808,2.248502,2.093248,2.065525,1.871247,1.965642,1.840579,1.987722,2.046526,2.100922,2.105307,2.260995,2.214163,1.945051,1.718953,1.827498,1.546356,1.753206,1.709543,1.784665,1.999014,2.379508,2.243830,2.398160,2.389917,2.402930,2.333645,2.218339,1.989053,1.979398,2.069844,2.339833,2.233439,2.101542,1.938889,2.044102,1.977847,1.785658,1.367738,2.419114,2.557334,2.399305,2.485077,2.168638,1.932201,2.042141,1.882586,1.614714,1.185034,2.476982,2.496499,2.273983,2.416384,1.958615,1.675023,1.830789,1.599024,1.401183,1.155931,1
2.496259,2.577301,2.235952,2.463778,2.110866,2.133499,2.117704,1.806614,1.481644,1.167940,2.172833,2.261637,2.370422,2.325781,2.416661,2.348194,2.359258,1.875501,1.791326,1.415768,2.193011,2.326222,2.419360,2.384370,2.394014,2.348314,2.341655,1.873975,1.781445,1.387094,2.105876,2.253543,2.211436,2.266764,2.395102,2.140077,2.278261,1.926430,2.078724,2.015181,2.064291,2.239643,2.400294,2.369298,2.156940,2.143655,2.134535,1.931225,1.991897,1.898045,2.029809,2.300288,2.257042,2.258762,2.489100,2.282307,2.370735,1.934944,2.196745,2.033085,2.179314,2.326418,2.438173,2.403309,2.293623,2.414116,2.343607,2.008889,1.885931,1.369554,2.350977,2.464848,2.203985,2.378081,2.109672,1.928465,2.028882,1.855480,1.680692,1.236328,2.338724,2.511338,2.144591,2.397744,2.078350,2.062375,2.040655,1.767358,1.502612,1.338386,1
2.355052,2.446443,1.934260,2.295364,2.293265,2.379164,2.325248,2.140416,1.647021,1.133577,2.388571,2.582421,2.064178,2.418544,2.657830,2.432563,2.528098,2.127709,1.860268,1.354513,2.344968,2.590341,2.224289,2.446554,2.567927,2.426664,2.490843,2.135592,1.849938,1.301985,2.519280,2.394739,2.089046,2.302881,2.454942,2.577024,2.555220,2.426686,2.331041,2.079606,1.849070,2.224620,2.217196,2.235584,2.198270,1.958343,2.015945,1.838166,1.923473,1.771192,2.629110,2.314388,2.259064,2.337742,2.822731,2.569504,2.685273,2.238055,2.101548,1.930813,2.355049,2.501983,2.302683,2.445845,2.495113,2.223330,2.333367,2.028545,1.890342,1.451518,2.394313,2.458905,2.263552,2.380708,2.159187,2.489539,2.413491,2.464403,1.924204,1.249465,2.136368,2.304991,1.879412,2.187051,2.125677,2.002885,2.009714,1.722180,1.578393,1.202316,1
2.435688,2.646465,2.392997,2.536689,2.685163,2.307103,2.486541,1.989983,1.641964,0.967331,2.499158,2.804798,2.493285,2.649399,2.633784,2.168638,2.388172,1.755606,1.639791,1.165900,2.434063,2.828852,2.660280,2.717295,2.709663,2.171272,2.459642,1.832356,1.633399,1.216301,2.278900,2.424621,2.277972,2.352988,2.597813,2.047121,2.358271,1.922593,2.184794,2.016324,1.934723,2.450905,2.246240,2.332985,2.179272,1.865737,1.998223,1.806683,1.720442,1.641212,2.446078,2.558547,2.284563,2.439949,2.714706,2.232763,2.474775,1.897574,1.994976,1.978228,2.266427,2.602987,2.332541,2.481457,2.361712,2.167217,2.220811,1.958143,1.627722,1.288273,2.350500,2.490816,2.302874,2.422922,2.629715,2.303704,2.459254,2.085873,1.726544,1.155292,2.098386,2.510852,2.352340,2.407361,2.269751,1.971233,2.136668,1.924813,1.562501,0.966680,1
2.218768,2.481994,2.407227,2.438636,2.562426,2.187763,2.377489,2.024264,1.758712,1.124100,2.398883,2.737291,2.532417,2.644015,2.420156,2.013031,2.185213,1.648177,1.531029,1.114863,2.463897,2.804666,2.704029,2.740529,2.615035,2.180846,2.377997,1.783244,1.611248,1.124255,2.231420,2.417644,2.380594,2.408602,2.451865,2.088330,2.263953,1.982854,2.004288,1.824217,2.017871,2.513868,2.469701,2.470981,2.224063,2.015401,2.078593,1.924643,1.845783,1.632553,2.293468,2.595899,2.421939,2.527826,2.362939,1.902499,2.169888,2.022422,2.027756,1.742206,2.157513,2.651826,2.476929,2.553418,2.279262,1.963858,2.089358,1.740627,1.531215,1.327470,1.960017,2.139045,2.299781,2.230893,2.546745,2.210661,2.349649,2.022825,1.755276,1.254524,2.142804,2.438016,2.346025,2.366287,2.278929,2.089963,2.195942,2.095870,1.735090,1.043237,1
1.796833,2.293807,2.416865,2.351569,2.230886,2.149975,2.187258,2.008169,1.646338,1.059147,2.291482,2.482765,2.343698,2.431291,2.304330,2.107061,2.176737,2.031245,1.831737,1.065274,2.218734,2.586972,2.416506,2.512581,2.523867,2.175579,2.333625,2.009834,1.839207,0.985795,2.079515,2.420316,2.205180,2.337000,2.313549,2.169522,2.218604,2.121109,1.998579,1.752233,2.105981,2.457661,2.339663,2.394407,2.223257,2.014112,2.052904,1.836906,2.080740,1.624074,2.209799,2.188665,2.122658,2.170785,2.120539,1.974441,2.058996,2.160321,2.100968,1.745033,2.321974,2.557916,2.410405,2.485461,2.068559,1.775514,1.897945,2.004217,1.861240,1.350185,1.789945,2.262908,2.217147,2.242234,2.166880,2.127630,2.145442,2.043463,1.606468,1.067860,1.816055,2.139969,2.272873,2.206246,2.106179,2.101239,2.076730,1.931610,1.675144,0.942029,1
1.933587,2.149935,1.939024,2.104083,2.085921,2.020243,2.065149,2.039469,1.648216,0.975821,2.069980,2.210968,2.128249,2.144278,1.987599,2.063734,2.040605,2.079887,1.840469,1.176580,2.150182,2.326951,2.034898,2.225779,2.291406,2.052838,2.160415,1.991655,1.779418,1.119073,2.141135,2.368934,2.134475,2.277421,2.077844,2.018015,2.047240,2.108196,1.904984,1.800544,1.908536,2.141103,1.997807,2.081809,2.163461,2.011187,2.002265,1.707154,1.922982,1.798400,1.994548,2.158575,2.222427,2.203534,1.994034,1.986168,1.997150,1.972477,2.041371,1.700432,2.057608,2.187465,1.924427,2.082759,1.972678,2.008873,1.936505,2.044075,1.926052,1.451733,2.032707,2.272557,1.924044,2.168610,2.051422,2.063395,2.057009,2.160322,1.693019,0.987387,1.752244,2.115938,2.017716,2.075251,2.074563,2.007321,2.014648,1.988070,1.688940,1.080455,1
2.601061,2.547802,1.979119,2.404706,2.339209,2.096079,2.198362,1.845935,1.632791,1.083603,2.374784,2.353501,2.169911,2.273576,2.027884,1.875776,1.895426,1.479045,1.614982,1.133102,2.564968,2.651608,2.309954,2.514948,2.094165,1.948695,1.950280,1.598543,1.616278,1.156760,2.613912,2.558733,2.074448,2.425042,1.973866,1.984442,1.950465,2.144407,1.992528,1.779138,2.323851,2.432283,2.044042,2.304797,1.836707,1.668610,1.710638,1.584507,1.895277,1.852750,2.595774,2.585982,2.279324,2.484114,1.960050,1.983288,1.930613,1.802622,2.093457,1.869102,2.142213,2.388282,2.309230,2.345706,1.938593,1.730786,1.786399,1.557682,1.716978,1.331147,2.591414,2.487508,1.869816,2.333083,2.264921,2.152655,2.187254,1.886444,1.559815,0.986247,2.363797,2.485549,2.116850,2.360978,1.848034,1.821634,1.815124,1.945031,1.633963,1.248078,1
2.837625,2.849331,2.079328,2.660350,2.211486,2.001139,2.079209,1.694658,1.711038,1.181017,2.421225,2.761829,2.556529,2.625076,1.953468,1.968397,1.977215,1.896701,1.757644,1.198631,2.677253,2.882906,2.518106,2.721105,2.134198,2.023485,2.048138,1.935183,1.796180,1.193544,2.909617,2.930337,2.412094,2.758291,1.713016,1.816163,1.774126,1.975426,2.087487,1.790183,2.318074,2.563910,2.157633,2.435284,2.224111,2.096272,2.117089,1.867445,2.103485,1.916397,3.095046,3.252659,2.910901,3.093051,1.937966,2.044053,2.028349,2.017930,2.042698,1.967379,2.565426,2.625370,2.404825,2.553728,2.304964,1.939156,2.121224,1.668376,1.659378,1.310316,2.819971,2.844842,2.061554,2.648333,2.080078,1.939718,1.979484,1.557093,1.601348,1.051134,2.399200,2.590517,1.987550,2.416668,1.627818,1.768991,1.709572,1.773426,1.637806,1.261253,1
2.721426,2.702840,2.098173,2.534678,2.344514,2.156222,2.220790,1.946818,1.644097,1.128084,2.362881,2.660462,2.552369,2.589859,2.238438,2.236013,2.256006,2.102464,1.787265,1.249218,2.589200,2.722781,2.497308,2.613830,2.318775,2.195387,2.230874,2.013608,1.746661,1.189589,2.802074,2.813532,2.378042,2.652932,1.959271,2.009951,1.969882,1.964369,2.053025,1.937942,2.367740,2.472967,2.025275,2.338332,2.403912,2.287493,2.326141,2.017807,2.048803,1.827659,3.024081,3.137117,2.820926,2.988906,2.098778,2.083833,2.125241,2.258194,2.115914,1.766033,2.623654,2.635337,2.214557,2.526966,2.541914,2.352572,2.450470,2.130642,1.695313,1.234872,2.677264,2.690124,2.055705,2.509899,2.040640,2.027238,2.010069,1.835293,1.592551,1.110244,2.263557,2.344204,1.994912,2.216714,2.164206,2.021153,2.069591,1.838429,1.603535,1.260978,1
